# This file was generated on Wed Apr  3 23:49:48 2024

SampleID , xsection, kfactor , filtereff , uncertainty , mh , generator , process , simulation

701040, 1.1526E-03, 1, 1, --, mHIGGS, Sherpa(v.2.2.14), Sh_2214_llll, OFLCOND-MC23-SDR-RUN3-02
701070, 1.3744E-03, 1, 1, --, mHIGGS, Sherpa(v.2.2.14p1), Sh_2214_llll_lowMllPtComplement, OFLCOND-MC23-SDR-RUN3-02
701000, 1.4781E-05, 1, 1, --, mHIGGS, Sherpa(v.2.2.14), Sh_2214_lllljj, OFLCOND-MC23-SDR-RUN3-02
701045, 3.9713E-03, 1, 1, --, mHIGGS, Sherpa(v.2.2.14), Sh_2214_lllv, OFLCOND-MC23-SDR-RUN3-02
701005, 5.3171E-05, 1, 1, --, mHIGGS, Sherpa(v.2.2.14), Sh_2214_lllvjj, OFLCOND-MC23-SDR-RUN3-02
525955, 1.6820E-05, 1, 1, --, mHIGGS, aMcAtNlo+Pythia8(v.309)+EvtGen(v.2.1.1), aMCPy8EG_tWZ_Ztoll_DR1, OFLCOND-MC23-SDR-RUN3-02
700866, 7.6076E-06, 1, 1, --, mHIGGS, Sherpa(v.2.2.14), Sh_2214_WWW_3l3v_EW6, OFLCOND-MC23-SDR-RUN3-02
700867, 1.7817E-06, 1, 0.4452557, --, mHIGGS, Sherpa(v.2.2.14), Sh_2214_WZZ_3l3v_EW6, OFLCOND-MC23-SDR-RUN3-02
601580, 4.0465E-04, 1, 0.4284614, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_ggH125_MINLO_tautaul13l7, OFLCOND-MC23-SDR-RUN3-02
601579, 7.4456E-04, 1, 0.1638508, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_ggH125_MINLO_tautaulm15hp20, OFLCOND-MC23-SDR-RUN3-02
601578, 7.4456E-04, 1, 0.163706, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_ggH125_MINLO_tautaulp15hm20, OFLCOND-MC23-SDR-RUN3-02
601581, 1.3700E-03, 1, 0.4449951, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_ggH125_MINLO_tautauh30h20, OFLCOND-MC23-SDR-RUN3-02
601470, 3.1607E-05, 1, 0.4634271, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_VBFH125_tautaul13l7, OFLCOND-MC23-SDR-RUN3-02
601471, 5.8157E-05, 1, 0.1753198, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_VBFH125_tautaulm15hp20, OFLCOND-MC23-SDR-RUN3-02
601472, 5.8157E-05, 1, 0.1755002, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_VBFH125_tautaulp15hm20, OFLCOND-MC23-SDR-RUN3-02
601469, 1.0701E-04, 1, 0.4702395, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_VBFH125_tautauh30h20, OFLCOND-MC23-SDR-RUN3-02
601474, 3.5431E-05, 1, 1, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_WmH125J_Winc_MINLO_tautau, OFLCOND-MC23-SDR-RUN3-02
601473, 5.5488E-05, 1, 1, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_WpH125J_Winc_MINLO_tautau, OFLCOND-MC23-SDR-RUN3-02
601402, 5.8944E-05, 1, 1, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_ZH125J_Zinc_MINLO_tautau, OFLCOND-MC23-SDR-RUN3-02
601400, 8.5019E-06, 1, 1, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_ggZH125_Zinc_tautau, OFLCOND-MC23-SDR-RUN3-02
602523, 1.2932E-05, 1, 1, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_WmH125J_Wincl_MINLO_WWlvlv, OFLCOND-MC23-SDR-RUN3-02
602525, 2.0252E-05, 1, 1, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_WpH125J_Wincl_MINLO_WWlvlv, OFLCOND-MC23-SDR-RUN3-02
602524, 1.2188E-04, 1, 0.4368796, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_WmH125J_Wincl_MINLO_WWlvqq, OFLCOND-MC23-SDR-RUN3-02
602526, 1.9087E-04, 1, 0.4372038, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_WpH125J_Wincl_MINLO_WWlvqq, OFLCOND-MC23-SDR-RUN3-02
602527, 2.1513E-05, 1, 1, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_ZH125J_Zincl_MINLO_WWlvlv, OFLCOND-MC23-SDR-RUN3-02
602528, 2.0276E-04, 1, 0.4376755, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_ZH125J_Zincl_MINLO_WWlvqq, OFLCOND-MC23-SDR-RUN3-02
602521, 3.1030E-06, 1, 1, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_ggZH125_Zincl_MINLO_WWlvlv, OFLCOND-MC23-SDR-RUN3-02
602522, 2.9246E-05, 1, 0.4374531, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_ggZH125_Zincl_MINLO_WWlvqq, OFLCOND-MC23-SDR-RUN3-02
700786, 2.3361E+00, 1, 0.02558475, --, mHIGGS, Sherpa, Sh_2214_Zee_maxHTpTV2_BFilter, OFLCOND-MC23-SDR-RUN3-02
700787, 2.3361E+00, 1, 0.1301249, --, mHIGGS, Sherpa, Sh_2214_Zee_maxHTpTV2_CFilterBVeto, OFLCOND-MC23-SDR-RUN3-02
700788, 2.3361E+00, 1, 0.8442598, --, mHIGGS, Sherpa, Sh_2214_Zee_maxHTpTV2_CVetoBVeto, OFLCOND-MC23-SDR-RUN3-02
# This file was generated on Wed Apr  3 23:49:48 2024

SampleID , xsection, kfactor , filtereff , uncertainty , mh , generator , process , simulation

701040, 1.1526E-03, 1, 1, --, mHIGGS, Sherpa(v.2.2.14), Sh_2214_llll, OFLCOND-MC23-SDR-RUN3-02
701070, 1.3744E-03, 1, 1, --, mHIGGS, Sherpa(v.2.2.14p1), Sh_2214_llll_lowMllPtComplement, OFLCOND-MC23-SDR-RUN3-02
701000, 1.4781E-05, 1, 1, --, mHIGGS, Sherpa(v.2.2.14), Sh_2214_lllljj, OFLCOND-MC23-SDR-RUN3-02
701045, 3.9713E-03, 1, 1, --, mHIGGS, Sherpa(v.2.2.14), Sh_2214_lllv, OFLCOND-MC23-SDR-RUN3-02
701005, 5.3171E-05, 1, 1, --, mHIGGS, Sherpa(v.2.2.14), Sh_2214_lllvjj, OFLCOND-MC23-SDR-RUN3-02
525955, 1.6820E-05, 1, 1, --, mHIGGS, aMcAtNlo+Pythia8(v.309)+EvtGen(v.2.1.1), aMCPy8EG_tWZ_Ztoll_DR1, OFLCOND-MC23-SDR-RUN3-02
700866, 7.6076E-06, 1, 1, --, mHIGGS, Sherpa(v.2.2.14), Sh_2214_WWW_3l3v_EW6, OFLCOND-MC23-SDR-RUN3-02
700867, 1.7817E-06, 1, 0.4452557, --, mHIGGS, Sherpa(v.2.2.14), Sh_2214_WZZ_3l3v_EW6, OFLCOND-MC23-SDR-RUN3-02
601580, 4.0465E-04, 1, 0.4284614, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_ggH125_MINLO_tautaul13l7, OFLCOND-MC23-SDR-RUN3-02
601579, 7.4456E-04, 1, 0.1638508, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_ggH125_MINLO_tautaulm15hp20, OFLCOND-MC23-SDR-RUN3-02
601578, 7.4456E-04, 1, 0.163706, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_ggH125_MINLO_tautaulp15hm20, OFLCOND-MC23-SDR-RUN3-02
601581, 1.3700E-03, 1, 0.4449951, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_ggH125_MINLO_tautauh30h20, OFLCOND-MC23-SDR-RUN3-02
601470, 3.1607E-05, 1, 0.4634271, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_VBFH125_tautaul13l7, OFLCOND-MC23-SDR-RUN3-02
601471, 5.8157E-05, 1, 0.1753198, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_VBFH125_tautaulm15hp20, OFLCOND-MC23-SDR-RUN3-02
601472, 5.8157E-05, 1, 0.1755002, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_VBFH125_tautaulp15hm20, OFLCOND-MC23-SDR-RUN3-02
601469, 1.0701E-04, 1, 0.4702395, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_VBFH125_tautauh30h20, OFLCOND-MC23-SDR-RUN3-02
601474, 3.5431E-05, 1, 1, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_WmH125J_Winc_MINLO_tautau, OFLCOND-MC23-SDR-RUN3-02
601473, 5.5488E-05, 1, 1, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_WpH125J_Winc_MINLO_tautau, OFLCOND-MC23-SDR-RUN3-02
601402, 5.8944E-05, 1, 1, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_ZH125J_Zinc_MINLO_tautau, OFLCOND-MC23-SDR-RUN3-02
601400, 8.5019E-06, 1, 1, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_ggZH125_Zinc_tautau, OFLCOND-MC23-SDR-RUN3-02
602523, 1.2932E-05, 1, 1, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_WmH125J_Wincl_MINLO_WWlvlv, OFLCOND-MC23-SDR-RUN3-02
602525, 2.0252E-05, 1, 1, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_WpH125J_Wincl_MINLO_WWlvlv, OFLCOND-MC23-SDR-RUN3-02
602524, 1.2188E-04, 1, 0.4368796, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_WmH125J_Wincl_MINLO_WWlvqq, OFLCOND-MC23-SDR-RUN3-02
602526, 1.9087E-04, 1, 0.4372038, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_WpH125J_Wincl_MINLO_WWlvqq, OFLCOND-MC23-SDR-RUN3-02
602527, 2.1513E-05, 1, 1, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_ZH125J_Zincl_MINLO_WWlvlv, OFLCOND-MC23-SDR-RUN3-02
602528, 2.0276E-04, 1, 0.4376755, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_ZH125J_Zincl_MINLO_WWlvqq, OFLCOND-MC23-SDR-RUN3-02
602521, 3.1030E-06, 1, 1, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_ggZH125_Zincl_MINLO_WWlvlv, OFLCOND-MC23-SDR-RUN3-02
602522, 2.9246E-05, 1, 0.4374531, --, mHIGGS, Powheg(v.06-01)+Pythia8(v.309)+EvtGen(v.2.1.1), PhPy8EG_PDF4LHC21_ggZH125_Zincl_MINLO_WWlvqq, OFLCOND-MC23-SDR-RUN3-02
700786, 2.3361E+00, 1, 0.02558475, --, mHIGGS, Sherpa, Sh_2214_Zee_maxHTpTV2_BFilter, OFLCOND-MC23-SDR-RUN3-02
700787, 2.3361E+00, 1, 0.1301249, --, mHIGGS, Sherpa, Sh_2214_Zee_maxHTpTV2_CFilterBVeto, OFLCOND-MC23-SDR-RUN3-02
700788, 2.3361E+00, 1, 0.8442598, --, mHIGGS, Sherpa, Sh_2214_Zee_maxHTpTV2_CVetoBVeto, OFLCOND-MC23-SDR-RUN3-02
700789, 2.3360E+00, 1, 0.02502561, --, mHIGGS, Sherpa, Sh_2214_Zmumu_maxHTpTV2_BFilter, OFLCOND-MC23-SDR-RUN3-02
700790, 2.3359E+00, 1, 0.1304359, --, mHIGGS, Sherpa, Sh_2214_Zmumu_maxHTpTV2_CFilterBVeto, OFLCOND-MC23-SDR-RUN3-02
700791, 2.3359E+00, 1, 0.8444979, --, mHIGGS, Sherpa, Sh_2214_Zmumu_maxHTpTV2_CVetoBVeto, OFLCOND-MC23-SDR-RUN3-02
700792, 2.3372E+00, 1, 0.0254845, --, mHIGGS, Sherpa, Sh_2214_Ztautau_maxHTpTV2_BFilter, OFLCOND-MC23-SDR-RUN3-02
700793, 2.3371E+00, 1, 0.130384, --, mHIGGS, Sherpa, Sh_2214_Ztautau_maxHTpTV2_CFilterBVeto, OFLCOND-MC23-SDR-RUN3-02
700794, 2.3371E+00, 1, 0.8441407, --, mHIGGS, Sherpa, Sh_2214_Ztautau_maxHTpTV2_CVetoBVeto, OFLCOND-MC23-SDR-RUN3-02
601230, 8.5482E-02, 1, 1, --, mHIGGS, Powheg(v.2_r3631)+Pythia8(v.308)+EvtGen(v.2.1.1), PhPy8EG_A14_ttbar_hdamp258p75_dil, OFLCOND-MC23-SDR-RUN3-02
601352, 3.9835E-02, 1, 1, --, mHIGGS, Powheg(v.2_r3960)+Pythia8(v.308)+EvtGen(v.2.1.1), PhPy8EG_tW_dyn_DR_incl_antitop, OFLCOND-MC23-SDR-RUN3-02
601355, 3.9869E-02, 1, 1, --, mHIGGS, Powheg(v.2_r3960)+Pythia8(v.308)+EvtGen(v.2.1.1), PhPy8EG_tW_dyn_DR_incl_top, OFLCOND-MC23-SDR-RUN3-02
700770, 1.0259E-01, 1, 1, --, mHIGGS, Sherpa(v.2.2.14), Sh_2214_eegamma, OFLCOND-MC23-SDR-RUN3-02
700771, 1.0258E-01, 1, 1, --, mHIGGS, Sherpa(v.2.2.14), Sh_2214_mumugamma, OFLCOND-MC23-SDR-RUN3-02
700772, 1.0262E-01, 1, 1, --, mHIGGS, Sherpa(v.2.2.14), Sh_2214_tautaugamma, OFLCOND-MC23-SDR-RUN3-02
700773, 3.8621E-01, 1, 1, --, mHIGGS, Sherpa(v.2.2.14), Sh_2214_enugamma, OFLCOND-MC23-SDR-RUN3-02
700774, 3.8600E-01, 1, 1, --, mHIGGS, Sherpa(v.2.2.14), Sh_2214_munugamma, OFLCOND-MC23-SDR-RUN3-02
700775, 3.8576E-01, 1, 1, --, mHIGGS, Sherpa(v.2.2.14), Sh_2214_taunugamma, OFLCOND-MC23-SDR-RUN3-02

701075, 2.9664E-03, 1.0, 1.0, --, 125, Sherpa, Sherpa_222_NNPDF30NNLO_lllv_lowMllPtComplement, DUMMY
700997, 5.4822E-04, 1.096     , 1.0       , --, 125, MGPy8EG, aMcAtNloPythia8EvtGen_MEN30NLO_A14N23LO_ttW, OFLCOND-MC15c-SDR-09
522024, 3.6864E-05, 1.12E+00  , 1.0000E+00, --, 125, MGPy8EG, aMcAtNloPythia8EvtGen_MEN30NLO_A14N23LO_ttee, OFLCOND-MC15c-SDR-09
522028, 3.6865E-05, 1.12E+00  , 1.0000E+00, --, 125, MGPy8EG, aMcAtNloPythia8EvtGen_MEN30NLO_A14N23LO_ttmumu, OFLCOND-MC15c-SDR-09
522032, 3.6555E-05, 1.12E+00  , 1.0000E+00, --, 125, MGPy8EG, aMcAtNloPythia8EvtGen_MEN30NLO_A14N23LO_tttautau, OFLCOND-MC15c-SDR-09700789, 2.3360E+00, 1, 0.02502561, --, mHIGGS, Sherpa, Sh_2214_Zmumu_maxHTpTV2_BFilter, OFLCOND-MC23-SDR-RUN3-02
700790, 2.3359E+00, 1, 0.1304359, --, mHIGGS, Sherpa, Sh_2214_Zmumu_maxHTpTV2_CFilterBVeto, OFLCOND-MC23-SDR-RUN3-02
